vae_model_z,VAE_ModeMass_z,VAE_SportKorea_z,VEA_StreetNatural_z,VAE_OutdoorNormcore_z,VAE_EleganceTrad_z,VAE_GirlyDesigner_z,VAE_OfficeManush_z,merchandise
1.1003683,0.2796795,0.9634916,0.28478026,0.6543102,1.0090688,1.3642353,0.17293912,スムースコットンリラックスボーダーT_0
0.14036928,0.698869,1.7388179,0.7486155,0.85436165,0.28742826,0.08904792,0.1925428,スムースコットンリラックスボーダーT_2
0.8920823,0.42016047,2.1018848,0.5394111,0.101118565,1.2961057,0.06345389,0.04070044,スーピマコットンクルーネックT_0
1.140797,0.11511823,0.61189115,0.7074242,0.008973637,1.03391,1.1535052,0.71422243,スムースコットンリラックスボーダーT_3
0.18057035,1.7469716,0.7164541,0.62938964,1.7967232,0.9787671,1.1854193,0.26888585,スーピマコットンクルーネックT_1
2.1320474,0.6734241,1.3300254,0.2816801,0.056507528,0.42944992,0.78287846,2.585595,スーピマコットンクルーネックT_2
0.43399072,1.6835262,0.688095,0.031361755,0.040149298,0.20898221,0.4884941,1.554161,スーピマコットンクルーネックT_3
0.2533596,0.6525165,0.14528038,0.55529886,2.5545042,1.0266669,0.19792083,0.6757426,ソフトコットンボーダーラウンドヘムT_1
1.7906297,0.87564886,0.077881545,0.458776,3.6470594,0.09176184,0.1183675,1.6831234,ソフトコットンボーダーラウンドヘムT_0
0.3656509,0.26239282,0.02806034,1.2626964,0.5502337,0.52190155,1.1762795,1.486735,ソフトコットンボーダーラウンドヘムT_2
0.45181352,0.4321468,1.4782889,1.1406453,1.0233364,1.0012581,0.25833413,0.6697619,ソフトコットンボーダーラウンドヘムT_3
2.1207297,0.6711109,0.43709213,0.8908352,0.39931968,0.009628296,2.2136872,0.35406232,ソフトリブクルーネックT_1
0.6064262,0.39868438,1.641068,0.16289228,0.04604128,0.26822203,1.612803,1.1624806,ソフトコットンボーダーラウンドヘムT_4
1.7036747,0.14166443,1.4681522,0.63249606,0.3359866,0.35091388,1.3578826,1.5513365,ソフトリブクルーネックT_0
0.016982833,0.16142516,0.7378968,0.37814,0.10090381,1.3665473,0.62338126,0.09938761,ソフトリブクルーネックT_2
0.3688259,0.5324782,0.65745527,0.5691449,0.9486211,0.6004507,0.28695703,1.0569607,ソフトリブクルーネックT_3
1.2062815,0.32421318,0.19276361,1.8315161,0.4488602,1.2043514,1.3634751,0.288259,ソフトリブクルーネックT_4
0.36441264,1.144475,0.8225513,2.0257277,0.69812036,0.58073294,2.4595428,0.734944,ソフトリブタンクトップ_1
0.9081156,1.2910246,1.1435889,0.61919516,0.9520562,0.1656768,1.4406558,0.6099868,ソフトリブタンクトップ_0
0.5849907,0.040068623,0.0035621957,0.50848657,0.6069349,0.5571713,1.000372,1.9921472,ソフトリブタンクトップ_2
0.62999755,0.08185255,0.07344922,0.47245064,0.0319936,1.1318994,1.0290534,0.47672206,ソフトリブタンクトップ_3
0.7436103,0.6917565,0.93496644,0.75800675,2.086114,0.95018345,0.92247766,0.1637514,ソフトリブタンクトップ_4
0.45747736,1.4042149,0.5535983,0.21342391,0.004986851,0.099175386,0.22691298,1.2580291,ソフトリブボーダークルーネックT_0
0.2975244,0.19648674,0.48760077,1.8003627,0.8868961,0.22307102,1.8721309,0.04338164,ソフトリブボーダークルーネックT_1
1.5062616,0.37198228,0.682678,0.35365027,1.2964784,0.31209844,0.4915762,1.8623533,ソフトリブボーダークルーネックT_2
1.1983266,0.042363312,0.92165595,1.3416436,0.7179815,0.13971277,0.74191016,1.2390208,ソフトリブボーダークルーネックT_3
0.59600264,1.051543,0.024741853,1.1407217,1.7012645,0.67724353,0.14780584,0.28176963,ドライEX UVカットハーフジップT_0
0.2747891,0.98610175,0.036989186,0.20045976,0.144412,0.1850254,0.9028398,0.40478206,ドライEX UVカットハーフジップT_1
1.1851846,0.5296053,1.3544421,0.7049023,0.14801195,0.72423697,0.3946395,0.66322637,ドライEX UVカットハーフジップT_2
1.0069925,1.5268741,1.8220204,0.4651292,0.5033551,0.004735425,0.6263048,1.0608113,ドライEX UVカットハーフジップT_3
0.69455034,0.3195117,0.59140944,1.3230112,0.87624264,0.36009145,0.8717899,0.20275487,ドライEXフレンチスリーブT_0
0.7268595,0.48255038,0.19342363,0.616858,1.8326685,0.39901835,0.05900392,0.49298692,ドライEXフレンチスリーブT_1
0.7510382,0.26257175,1.2234683,0.18460068,0.12538648,0.43112183,0.47103414,0.27644014,ドライEXフレンチスリーブT_2
0.26153183,0.43059835,0.4285271,0.09106161,2.2921555,0.01884348,0.57049876,2.2405307,ヒートテックフリースタートルネックT_0
1.0977527,0.48579308,0.07918622,0.7443761,0.7176813,0.3101933,0.87852657,1.7289317,ドライEXフレンチスリーブT_3
2.0754461,0.4314594,0.17264506,0.8674363,1.4331908,0.04372731,0.77223366,0.81371945,ヒートテックフリースタートルネックT_1
